0	1	115	9724.639999999998	14.133
3	0	92	9819.76	17.498
0	2	101	21290.469999999983	7.277 
2	0	86	11198.500000000002	13.381
1	0	27	5981.66	12.753
3	1	43	12435.57	10.125
1	0	74	10019.22	12.046
1	2	172	22255.719999999987	10.887
1	0	52	17491.850000000002	11.375
0	1	45	8776.999999999995	10.946
0	0	20	5079.650000000001	9.144 
3	2	197	41386.83999999991	5.75  
0	2	109	20466.68999999999	7.747 
1	0	80	19317.61999999999	9.312 
0	1	97	25105.349999999977	11.951
0	0	71	13661.889999999992	9.516 
4	0	87	11634.709999999997	11.307
0	0	23	1454.58	6.586 
0	0	143	24485.009999999973	10.471
14	1	35	7209.279999999998	4.422 
0	1	102	16956.52	10.483
1	1	95	22854.479999999992	18.054
1	1	40	3235.53	8.329 
1	1	58	5327.009999999999	11.146
0	1	56	16258.180000000006	7.7   
0	1	175	39345.0599999999	9.118 
3	2	89	20481.959999999992	9.515 
0	0	21	5091.65	8.247 
2	1	62	2475.8	7.839 
6	0	53	12237.309999999998	10.054
7	1	63	12835.320000000003	9.098 
6	0	152	30516.86999999999	12.073
0	1	21	9800.659999999998	10.099
